Count,correct,ASR,Filename
1,,,
2,of,off,arabic10_hyp.trn.dtl
1,ask,asked,arabic10_hyp.trn.dtl
1,spoons,pulls,arabic10_hyp.trn.dtl
1,blue,new,arabic11_hyp.trn.dtl
1,bob,ball,arabic11_hyp.trn.dtl
1,of,off,arabic11_hyp.trn.dtl
1,slabs,slaps,arabic11_hyp.trn.dtl
1,snake,oh,arabic11_hyp.trn.dtl
1,a,onda,arabic12_hyp.trn.dtl
1,and,may,arabic12_hyp.trn.dtl
1,and,on,arabic12_hyp.trn.dtl
1,and,slake,arabic12_hyp.trn.dtl
1,bags,back,arabic12_hyp.trn.dtl
1,blue,your,arabic12_hyp.trn.dtl
1,can,can't,arabic12_hyp.trn.dtl
1,five,fifty-five,arabic12_hyp.trn.dtl
1,her,hair,arabic12_hyp.trn.dtl
1,her,here,arabic12_hyp.trn.dtl
1,into,tow,arabic12_hyp.trn.dtl
1,maybe,be,arabic12_hyp.trn.dtl
1,of,a,arabic12_hyp.trn.dtl
1,of,off,arabic12_hyp.trn.dtl
1,red,right,arabic12_hyp.trn.dtl
1,scoop,school,arabic12_hyp.trn.dtl
1,snack,snot,arabic12_hyp.trn.dtl
1,thick,pic,arabic12_hyp.trn.dtl
1,to,herto,arabic12_hyp.trn.dtl
2,of,off,arabic13_hyp.trn.dtl
2,these,the,arabic13_hyp.trn.dtl
1,a,it's,arabic13_hyp.trn.dtl
1,slabs,slab,arabic13_hyp.trn.dtl
1,snack,neck,arabic13_hyp.trn.dtl
1,stella,still,arabic13_hyp.trn.dtl
1,things,thing,arabic13_hyp.trn.dtl
2,of,off,arabic14_hyp.trn.dtl
1,a,that,arabic14_hyp.trn.dtl
1,call,go,arabic14_hyp.trn.dtl
1,frog,fraud,arabic14_hyp.trn.dtl
1,from,form,arabic14_hyp.trn.dtl
1,her,win,arabic14_hyp.trn.dtl
1,peas,bees,arabic14_hyp.trn.dtl
1,snake,snack,arabic14_hyp.trn.dtl
1,spoons,buns,arabic14_hyp.trn.dtl
1,stella,stiller,arabic14_hyp.trn.dtl
1,store,tool,arabic14_hyp.trn.dtl
1,the,this,arabic14_hyp.trn.dtl
1,and,big,arabic15_hyp.trn.dtl
1,for,off,arabic15_hyp.trn.dtl
1,fresh,off,arabic15_hyp.trn.dtl
1,of,off,arabic15_hyp.trn.dtl
1,of,pulls,arabic15_hyp.trn.dtl
1,peas,piece,arabic15_hyp.trn.dtl
1,snack,snake,arabic15_hyp.trn.dtl
1,snake,a,arabic15_hyp.trn.dtl
1,a,the,arabic16_hyp.trn.dtl
1,and,in,arabic16_hyp.trn.dtl
1,and,the,arabic16_hyp.trn.dtl
1,bags,backs,arabic16_hyp.trn.dtl
1,bob,ball,arabic16_hyp.trn.dtl
1,slabs,lives,arabic16_hyp.trn.dtl
1,spoons,points,arabic16_hyp.trn.dtl
1,stella,costello,arabic16_hyp.trn.dtl
1,thick,fifty-six,arabic16_hyp.trn.dtl
1,and,on,arabic17_hyp.trn.dtl
1,at,are,arabic17_hyp.trn.dtl
1,fresh,off,arabic17_hyp.trn.dtl
1,of,off,arabic17_hyp.trn.dtl
1,of,pulls,arabic17_hyp.trn.dtl
1,peas,piece,arabic17_hyp.trn.dtl
1,scoop,scold,arabic17_hyp.trn.dtl
1,snow,personal,arabic17_hyp.trn.dtl
1,stella,still,arabic17_hyp.trn.dtl
1,these,his,arabic17_hyp.trn.dtl
1,wednesday,they,arabic17_hyp.trn.dtl
2,of,off,arabic18_hyp.trn.dtl
1,and,on,arabic18_hyp.trn.dtl
1,bob,book,arabic18_hyp.trn.dtl
1,fresh,which,arabic18_hyp.trn.dtl
1,frog,coke,arabic18_hyp.trn.dtl
1,scoop,screw,arabic18_hyp.trn.dtl
1,slabs,loves,arabic18_hyp.trn.dtl
1,stella,still,arabic18_hyp.trn.dtl
1,store,stop,arabic18_hyp.trn.dtl
1,thick,fifty-six,arabic18_hyp.trn.dtl
1,a,the,arabic19_hyp.trn.dtl
1,and,on,arabic19_hyp.trn.dtl
1,ask,asked,arabic19_hyp.trn.dtl
1,for,off,arabic19_hyp.trn.dtl
1,her,heard,arabic19_hyp.trn.dtl
1,her,here,arabic19_hyp.trn.dtl
1,of,the,arabic19_hyp.trn.dtl
1,of,with,arabic19_hyp.trn.dtl
1,peas,please,arabic19_hyp.trn.dtl
1,slabs,off,arabic19_hyp.trn.dtl
1,snack,snake,arabic19_hyp.trn.dtl
1,these,this,arabic19_hyp.trn.dtl
1,thick,slaps,arabic19_hyp.trn.dtl
1,things,thanks,arabic19_hyp.trn.dtl
1,with,we've,arabic19_hyp.trn.dtl
2,of,off,arabic1_hyp.trn.dtl
2,these,this,arabic1_hyp.trn.dtl
1,ask,us,arabic1_hyp.trn.dtl
1,bob,back,arabic1_hyp.trn.dtl
1,five,bees,arabic1_hyp.trn.dtl
1,frog,fraud,arabic1_hyp.trn.dtl
1,her,care,arabic1_hyp.trn.dtl
1,her,here,arabic1_hyp.trn.dtl
1,her,is,arabic1_hyp.trn.dtl
1,slabs,lip,arabic1_hyp.trn.dtl
1,snack,snake,arabic1_hyp.trn.dtl
1,spoons,spoon,arabic1_hyp.trn.dtl
1,thick,fifty-six,arabic1_hyp.trn.dtl
1,to,tto,arabic1_hyp.trn.dtl
1,wednesday,the,arabic1_hyp.trn.dtl
1,a,the,arabic20_hyp.trn.dtl
1,and,on,arabic20_hyp.trn.dtl
1,ask,asked,arabic20_hyp.trn.dtl
1,bags,backs,arabic20_hyp.trn.dtl
1,blue,off,arabic20_hyp.trn.dtl
1,bob,paul,arabic20_hyp.trn.dtl
1,cheese,guccis,arabic20_hyp.trn.dtl
1,five,fire,arabic20_hyp.trn.dtl
1,for,off,arabic20_hyp.trn.dtl
1,for,on,arabic20_hyp.trn.dtl
1,fresh,rash,arabic20_hyp.trn.dtl
1,frog,from,arabic20_hyp.trn.dtl
1,her,him,arabic20_hyp.trn.dtl
1,kids,case,arabic20_hyp.trn.dtl
1,need,know,arabic20_hyp.trn.dtl
1,of,off,arabic20_hyp.trn.dtl
1,plastic,plastics,arabic20_hyp.trn.dtl
1,red,right,arabic20_hyp.trn.dtl
1,scoop,screw,arabic20_hyp.trn.dtl
1,snake,name,arabic20_hyp.trn.dtl
1,wednesday,majesty,arabic20_hyp.trn.dtl
2,of,off,arabic21_hyp.trn.dtl
1,ask,asked,arabic21_hyp.trn.dtl
1,scoop,screw,arabic21_hyp.trn.dtl
1,stella,estella,arabic21_hyp.trn.dtl
1,a,it's,arabic22_hyp.trn.dtl
1,and,on,arabic22_hyp.trn.dtl
1,and,um,arabic22_hyp.trn.dtl
1,ask,asked,arabic22_hyp.trn.dtl
1,bags,attacks,arabic22_hyp.trn.dtl
1,bob,book,arabic22_hyp.trn.dtl
1,call,he's,arabic22_hyp.trn.dtl
1,five,piece,arabic22_hyp.trn.dtl
1,fresh,course,arabic22_hyp.trn.dtl
1,frog,for,arabic22_hyp.trn.dtl
1,her,metre,arabic22_hyp.trn.dtl
1,of,off,arabic22_hyp.trn.dtl
1,peas,personal,arabic22_hyp.trn.dtl
1,slabs,lives,arabic22_hyp.trn.dtl
1,snack,not,arabic22_hyp.trn.dtl
1,snow,off,arabic22_hyp.trn.dtl
1,stella,constanta,arabic22_hyp.trn.dtl
1,thick,fifty-six,arabic22_hyp.trn.dtl
2,of,off,arabic23_hyp.trn.dtl
1,ask,asked,arabic23_hyp.trn.dtl
1,six,sixth,arabic23_hyp.trn.dtl
1,these,the,arabic23_hyp.trn.dtl
1,wednesday,day,arabic23_hyp.trn.dtl
2,her,here,arabic24_hyp.trn.dtl
1,and,day,arabic24_hyp.trn.dtl
1,bags,on,arabic24_hyp.trn.dtl
1,blue,off,arabic24_hyp.trn.dtl
1,bob,book,arabic24_hyp.trn.dtl
1,brother,puzzle,arabic24_hyp.trn.dtl
1,call,a,arabic24_hyp.trn.dtl
1,cheese,pollution,arabic24_hyp.trn.dtl
1,for,all,arabic24_hyp.trn.dtl
1,into,tow,arabic24_hyp.trn.dtl
1,need,needs,arabic24_hyp.trn.dtl
1,of,off,arabic24_hyp.trn.dtl
1,of,slipped,arabic24_hyp.trn.dtl
1,peas,is,arabic24_hyp.trn.dtl
1,please,called,arabic24_hyp.trn.dtl
1,slabs,think,arabic24_hyp.trn.dtl
1,snack,off,arabic24_hyp.trn.dtl
1,spoons,points,arabic24_hyp.trn.dtl
1,stella,settler,arabic24_hyp.trn.dtl
1,these,sense,arabic24_hyp.trn.dtl
1,thick,i,arabic24_hyp.trn.dtl
1,things,in,arabic24_hyp.trn.dtl
1,to,herto,arabic24_hyp.trn.dtl
1,ask,asked,arabic25_hyp.trn.dtl
1,wednesday,day,arabic25_hyp.trn.dtl
2,of,off,arabic26_hyp.trn.dtl
2,these,those,arabic26_hyp.trn.dtl
1,ask,asked,arabic26_hyp.trn.dtl
1,bags,bag,arabic26_hyp.trn.dtl
1,peas,piece,arabic26_hyp.trn.dtl
1,scoop,school,arabic26_hyp.trn.dtl
1,slabs,slab,arabic26_hyp.trn.dtl
1,snake,snack,arabic26_hyp.trn.dtl
1,things,thing,arabic26_hyp.trn.dtl
1,toy,of,arabic26_hyp.trn.dtl
1,wednesday,the,arabic26_hyp.trn.dtl
1,a,as,arabic29_hyp.trn.dtl
1,ask,a,arabic29_hyp.trn.dtl
1,bags,specs,arabic29_hyp.trn.dtl
1,bob,pop,arabic29_hyp.trn.dtl
1,five,labs,arabic29_hyp.trn.dtl
1,her,hair,arabic29_hyp.trn.dtl
1,her,help,arabic29_hyp.trn.dtl
1,her,him,arabic29_hyp.trn.dtl
1,her,scare,arabic29_hyp.trn.dtl
1,of,a,arabic29_hyp.trn.dtl
1,of,off,arabic29_hyp.trn.dtl
1,peas,texas,arabic29_hyp.trn.dtl
1,plastic,plastics,arabic29_hyp.trn.dtl
1,please,police,arabic29_hyp.trn.dtl
1,scoop,sculpt,arabic29_hyp.trn.dtl
1,slabs,off,arabic29_hyp.trn.dtl
1,small,smaller,arabic29_hyp.trn.dtl
1,snack,next,arabic29_hyp.trn.dtl
1,snake,next,arabic29_hyp.trn.dtl
1,snow,the,arabic29_hyp.trn.dtl
1,spoons,teaspoons,arabic29_hyp.trn.dtl
1,stella,still,arabic29_hyp.trn.dtl
1,thick,or,arabic29_hyp.trn.dtl
1,spoons,points,arabic2_hyp.trn.dtl
1,ask,asked,arabic30_hyp.trn.dtl
1,from,for,arabic30_hyp.trn.dtl
1,slabs,laps,arabic30_hyp.trn.dtl
1,snake,snack,arabic30_hyp.trn.dtl
1,thick,fifty-six,arabic30_hyp.trn.dtl
2,of,off,arabic31_hyp.trn.dtl
1,a,sneak,arabic31_hyp.trn.dtl
1,bags,readbacks,arabic31_hyp.trn.dtl
1,bob,but,arabic31_hyp.trn.dtl
1,fresh,fish,arabic31_hyp.trn.dtl
1,frog,work,arabic31_hyp.trn.dtl
1,her,and,arabic31_hyp.trn.dtl
1,meet,metre,arabic31_hyp.trn.dtl
1,peas,visa,arabic31_hyp.trn.dtl
1,red,their,arabic31_hyp.trn.dtl
1,slabs,knows,arabic31_hyp.trn.dtl
1,snack,off,arabic31_hyp.trn.dtl
1,snake,sneak,arabic31_hyp.trn.dtl
1,spoons,pulls,arabic31_hyp.trn.dtl
1,stella,still,arabic31_hyp.trn.dtl
1,the,this,arabic31_hyp.trn.dtl
1,ask,asked,arabic32_hyp.trn.dtl
1,five,fire,arabic32_hyp.trn.dtl
1,meet,made,arabic32_hyp.trn.dtl
1,of,off,arabic32_hyp.trn.dtl
1,scoop,screw,arabic32_hyp.trn.dtl
1,snack,snacks,arabic32_hyp.trn.dtl
1,thick,fixed,arabic32_hyp.trn.dtl
1,toy,of,arabic32_hyp.trn.dtl
1,ask,asked,arabic33_hyp.trn.dtl
1,bob,book,arabic33_hyp.trn.dtl
1,call,cost,arabic33_hyp.trn.dtl
1,five,please,arabic33_hyp.trn.dtl
1,of,a,arabic33_hyp.trn.dtl
1,of,off,arabic33_hyp.trn.dtl
1,scoop,sculpt,arabic33_hyp.trn.dtl
1,slabs,slaps,arabic33_hyp.trn.dtl
1,snake,neck,arabic33_hyp.trn.dtl
1,spoons,off,arabic33_hyp.trn.dtl
1,stella,ella,arabic33_hyp.trn.dtl
1,these,thes,arabic33_hyp.trn.dtl
1,thick,fifty-six,arabic33_hyp.trn.dtl
1,toy,type,arabic33_hyp.trn.dtl
1,ask,asked,arabic34_hyp.trn.dtl
1,frog,fraud,arabic34_hyp.trn.dtl
1,snake,steak,arabic34_hyp.trn.dtl
1,thick,fixed,arabic34_hyp.trn.dtl
1,a,on,arabic35_hyp.trn.dtl
1,and,snack,arabic35_hyp.trn.dtl
1,at,is,arabic35_hyp.trn.dtl
1,five,piece,arabic35_hyp.trn.dtl
1,for,off,arabic35_hyp.trn.dtl
1,of,off,arabic35_hyp.trn.dtl
1,peas,professional,arabic35_hyp.trn.dtl
1,snack,snap,arabic35_hyp.trn.dtl
1,stella,still,arabic35_hyp.trn.dtl
1,thick,fifty-six,arabic35_hyp.trn.dtl
1,three,the,arabic35_hyp.trn.dtl
1,wednesday,when,arabic35_hyp.trn.dtl
2,of,off,arabic36_hyp.trn.dtl
1,her,here,arabic36_hyp.trn.dtl
1,into,tow,arabic36_hyp.trn.dtl
1,peas,bees,arabic36_hyp.trn.dtl
1,snake,snack,arabic36_hyp.trn.dtl
1,spoons,bones,arabic36_hyp.trn.dtl
1,these,this,arabic36_hyp.trn.dtl
1,to,herto,arabic36_hyp.trn.dtl
1,a,the,arabic37_hyp.trn.dtl
1,and,on,arabic37_hyp.trn.dtl
1,ask,asked,arabic37_hyp.trn.dtl
1,bags,backs,arabic37_hyp.trn.dtl
1,big,bag,arabic37_hyp.trn.dtl
1,her,a,arabic37_hyp.trn.dtl
1,into,tow,arabic37_hyp.trn.dtl
1,peas,peace,arabic37_hyp.trn.dtl
1,snake,snakes,arabic37_hyp.trn.dtl
1,snow,no,arabic37_hyp.trn.dtl
1,spoons,points,arabic37_hyp.trn.dtl
2,of,off,arabic38_hyp.trn.dtl
1,and,in,arabic38_hyp.trn.dtl
1,a,it's,arabic39_hyp.trn.dtl
1,bob,book,arabic39_hyp.trn.dtl
1,can,can't,arabic39_hyp.trn.dtl
1,frog,for,arabic39_hyp.trn.dtl
1,her,here,arabic39_hyp.trn.dtl
1,of,off,arabic39_hyp.trn.dtl
1,peas,piece,arabic39_hyp.trn.dtl
1,scoop,school,arabic39_hyp.trn.dtl
1,six,it's,arabic39_hyp.trn.dtl
1,slabs,off,arabic39_hyp.trn.dtl
1,snack,not,arabic39_hyp.trn.dtl
1,spoons,explains,arabic39_hyp.trn.dtl
1,store,certain,arabic39_hyp.trn.dtl
1,we,you,arabic39_hyp.trn.dtl
2,of,off,arabic3_hyp.trn.dtl
1,and,day,arabic3_hyp.trn.dtl
1,and,on,arabic3_hyp.trn.dtl
1,call,still,arabic3_hyp.trn.dtl
1,five,fight,arabic3_hyp.trn.dtl
1,her,hair,arabic3_hyp.trn.dtl
1,peas,piece,arabic3_hyp.trn.dtl
1,scoop,scope,arabic3_hyp.trn.dtl
1,she,he,arabic3_hyp.trn.dtl
1,snake,snack,arabic3_hyp.trn.dtl
1,spoons,points,arabic3_hyp.trn.dtl
1,stella,still,arabic3_hyp.trn.dtl
1,thick,fix,arabic3_hyp.trn.dtl
1,we,you,arabic3_hyp.trn.dtl
1,wednesday,day,arabic3_hyp.trn.dtl
2,and,on,arabic40_hyp.trn.dtl
2,of,off,arabic40_hyp.trn.dtl
1,a,it's,arabic40_hyp.trn.dtl
1,a,the,arabic40_hyp.trn.dtl
1,fresh,first,arabic40_hyp.trn.dtl
1,frog,from,arabic40_hyp.trn.dtl
1,peas,bees,arabic40_hyp.trn.dtl
1,scoop,screw,arabic40_hyp.trn.dtl
1,snack,not,arabic40_hyp.trn.dtl
1,snake,snack,arabic40_hyp.trn.dtl
1,snow,no,arabic40_hyp.trn.dtl
1,spoons,bones,arabic40_hyp.trn.dtl
1,store,stop,arabic40_hyp.trn.dtl
1,a,the,arabic41_hyp.trn.dtl
1,and,on,arabic41_hyp.trn.dtl
1,and,watches,arabic41_hyp.trn.dtl
1,ask,asked,arabic41_hyp.trn.dtl
1,call,scylla,arabic41_hyp.trn.dtl
1,cheese,off,arabic41_hyp.trn.dtl
1,frog,it,arabic41_hyp.trn.dtl
1,her,his,arabic41_hyp.trn.dtl
1,her,your,arabic41_hyp.trn.dtl
1,meet,too,arabic41_hyp.trn.dtl
1,snake,snack,arabic41_hyp.trn.dtl
1,spoons,schools,arabic41_hyp.trn.dtl
1,stella,i,arabic41_hyp.trn.dtl
1,the,that,arabic41_hyp.trn.dtl
1,the,this,arabic41_hyp.trn.dtl
1,wednesday,day,arabic41_hyp.trn.dtl
1,a,the,arabic43_hyp.trn.dtl
1,ask,asked,arabic43_hyp.trn.dtl
1,bob,book,arabic43_hyp.trn.dtl
1,frog,from,arabic43_hyp.trn.dtl
1,spoons,points,arabic43_hyp.trn.dtl
1,these,thieves,arabic43_hyp.trn.dtl
1,thick,fifty-six,arabic43_hyp.trn.dtl
1,three,free,arabic43_hyp.trn.dtl
1,toy,time,arabic43_hyp.trn.dtl
2,of,off,arabic44_hyp.trn.dtl
1,fresh,first,arabic44_hyp.trn.dtl
1,plastic,tastic,arabic44_hyp.trn.dtl
1,snake,snack,arabic44_hyp.trn.dtl
1,stella,still,arabic44_hyp.trn.dtl
1,wednesday,at,arabic44_hyp.trn.dtl
2,of,off,arabic45_hyp.trn.dtl
1,and,dh,arabic45_hyp.trn.dtl
1,and,on,arabic45_hyp.trn.dtl
1,snake,on,arabic45_hyp.trn.dtl
1,stella,still,arabic45_hyp.trn.dtl
1,store,storm,arabic45_hyp.trn.dtl
1,three,their,arabic45_hyp.trn.dtl
1,train,trains,arabic45_hyp.trn.dtl
3,and,on,arabic46_hyp.trn.dtl
2,of,off,arabic46_hyp.trn.dtl
1,can,can't,arabic46_hyp.trn.dtl
