Count,Deleted_Word,Filename
1,,
1,of,arabic11_hyp.trn.dtl
1,her,arabic12_hyp.trn.dtl
1,snake,arabic12_hyp.trn.dtl
1,a,arabic13_hyp.trn.dtl
1,a,arabic15_hyp.trn.dtl
1,spoons,arabic15_hyp.trn.dtl
1,call,arabic16_hyp.trn.dtl
1,five,arabic16_hyp.trn.dtl
1,spoons,arabic17_hyp.trn.dtl
1,five,arabic18_hyp.trn.dtl
1,peas,arabic1_hyp.trn.dtl
1,of,arabic20_hyp.trn.dtl
1,will,arabic20_hyp.trn.dtl
1,meet,arabic22_hyp.trn.dtl
1,of,arabic22_hyp.trn.dtl
1,please,arabic22_hyp.trn.dtl
1,red,arabic22_hyp.trn.dtl
1,spoons,arabic22_hyp.trn.dtl
1,a,arabic24_hyp.trn.dtl
1,her,arabic24_hyp.trn.dtl
1,these,arabic29_hyp.trn.dtl
1,five,arabic30_hyp.trn.dtl
1,three,arabic31_hyp.trn.dtl
1,a,arabic32_hyp.trn.dtl
1,peas,arabic33_hyp.trn.dtl
2,and,arabic35_hyp.trn.dtl
1,a,arabic35_hyp.trn.dtl
1,fresh,arabic35_hyp.trn.dtl
1,of,arabic35_hyp.trn.dtl
1,snake,arabic35_hyp.trn.dtl
1,snow,arabic35_hyp.trn.dtl
1,her,arabic36_hyp.trn.dtl
1,red,arabic36_hyp.trn.dtl
1,her,arabic37_hyp.trn.dtl
1,with,arabic37_hyp.trn.dtl
3,and,arabic39_hyp.trn.dtl
1,a,arabic39_hyp.trn.dtl
1,the,arabic39_hyp.trn.dtl
1,a,arabic3_hyp.trn.dtl
1,bob,arabic40_hyp.trn.dtl
1,blue,arabic41_hyp.trn.dtl
1,of,arabic41_hyp.trn.dtl
1,peas,arabic41_hyp.trn.dtl
1,five,arabic43_hyp.trn.dtl
1,five,arabic46_hyp.trn.dtl
1,brother,arabic48_hyp.trn.dtl
1,please,arabic48_hyp.trn.dtl
1,red,arabic48_hyp.trn.dtl
1,and,arabic49_hyp.trn.dtl
2,and,arabic4_hyp.trn.dtl
1,five,arabic4_hyp.trn.dtl
1,five,arabic51_hyp.trn.dtl
1,a,arabic53_hyp.trn.dtl
1,snow,arabic53_hyp.trn.dtl
1,five,arabic54_hyp.trn.dtl
1,five,arabic55_hyp.trn.dtl
