Count,correct,ASR,Filename
1,,,
1,scoop,see,arabic10_hyp.trn.dtl
1,spoons,pounds,arabic10_hyp.trn.dtl
1,a,it's,arabic11_hyp.trn.dtl
1,bags,hype,arabic11_hyp.trn.dtl
1,plastic,alternative,arabic11_hyp.trn.dtl
1,red,big,arabic11_hyp.trn.dtl
1,small,the,arabic11_hyp.trn.dtl
1,snack,not,arabic11_hyp.trn.dtl
1,snake,snap,arabic11_hyp.trn.dtl
1,cheese,stick,arabic12_hyp.trn.dtl
1,her,hear,arabic12_hyp.trn.dtl
1,her,yellow,arabic12_hyp.trn.dtl
1,kids,head,arabic12_hyp.trn.dtl
1,meet,can't,arabic12_hyp.trn.dtl
1,red,bread,arabic13_hyp.trn.dtl
1,slabs,lab,arabic13_hyp.trn.dtl
1,snack,snake,arabic13_hyp.trn.dtl
1,spoons,pounds,arabic13_hyp.trn.dtl
1,these,the,arabic13_hyp.trn.dtl
1,thick,56,arabic13_hyp.trn.dtl
1,things,saying,arabic13_hyp.trn.dtl
1,frog,from,arabic14_hyp.trn.dtl
1,from,therefore,arabic14_hyp.trn.dtl
1,scoop,scrub,arabic14_hyp.trn.dtl
1,slabs,bs56xx,arabic14_hyp.trn.dtl
1,snake,snack,arabic14_hyp.trn.dtl
1,spoons,pounds,arabic14_hyp.trn.dtl
1,toy,toys,arabic14_hyp.trn.dtl
1,5,loose,arabic15_hyp.trn.dtl
1,bob,but,arabic15_hyp.trn.dtl
1,for,of,arabic15_hyp.trn.dtl
1,frog,from,arabic15_hyp.trn.dtl
1,of,labs,arabic15_hyp.trn.dtl
1,scoop,cook,arabic15_hyp.trn.dtl
1,slabs,56,arabic15_hyp.trn.dtl
1,snack,snake,arabic15_hyp.trn.dtl
1,snake,snack,arabic15_hyp.trn.dtl
1,spoons,pounds,arabic15_hyp.trn.dtl
1,thick,nappies,arabic15_hyp.trn.dtl
1,toy,victoria,arabic15_hyp.trn.dtl
1,a,the,arabic16_hyp.trn.dtl
1,and,majin,arabic16_hyp.trn.dtl
1,ask,as,arabic16_hyp.trn.dtl
1,cheese,love,arabic16_hyp.trn.dtl
1,go,three,arabic16_hyp.trn.dtl
1,her,back,arabic16_hyp.trn.dtl
1,her,sweetheart,arabic16_hyp.trn.dtl
1,meet,right,arabic16_hyp.trn.dtl
1,plastic,ball,arabic16_hyp.trn.dtl
1,scoop,key,arabic16_hyp.trn.dtl
1,slabs,lots,arabic16_hyp.trn.dtl
1,snake,dokkan,arabic16_hyp.trn.dtl
1,thick,56,arabic16_hyp.trn.dtl
