Count,correct,ASR,Filename
1,,,
1,and,lillian,b-rea1-f1_hyp.trn.dtl
1,announce,unite,b-rea1-f1_hyp.trn.dtl
1,called,caught,b-rea1-f1_hyp.trn.dtl
1,cinders,percenters,b-rea1-f1_hyp.trn.dtl
1,gowns,grounds,b-rea1-f1_hyp.trn.dtl
1,hairbrushes,her,b-rea1-f1_hyp.trn.dtl
1,hairpins,prince,b-rea1-f1_hyp.trn.dtl
1,hairspray,bring,b-rea1-f1_hyp.trn.dtl
1,howled,held,b-rea1-f1_hyp.trn.dtl
1,would,will,b-rea1-f1_hyp.trn.dtl
2,and,lillian,b-rea1-f2_hyp.trn.dtl
2,gowns,guns,b-rea1-f2_hyp.trn.dtl
1,a,the,b-rea1-f2_hyp.trn.dtl
1,and,ellen,b-rea1-f2_hyp.trn.dtl
1,cinders,percenters,b-rea1-f2_hyp.trn.dtl
1,cinders,senders,b-rea1-f2_hyp.trn.dtl
1,cinders,tinder's,b-rea1-f2_hyp.trn.dtl
1,divine,vine,b-rea1-f2_hyp.trn.dtl
1,girl,guard,b-rea1-f2_hyp.trn.dtl
1,hairbrushes,heart,b-rea1-f2_hyp.trn.dtl
1,hairpins,pins,b-rea1-f2_hyp.trn.dtl
1,hairspray,spray,b-rea1-f2_hyp.trn.dtl
1,howled,all,b-rea1-f2_hyp.trn.dtl
1,my,a,b-rea1-f2_hyp.trn.dtl
1,rosa,russell,b-rea1-f2_hyp.trn.dtl
1,shouting,shooting,b-rea1-f2_hyp.trn.dtl
1,si-,us,b-rea1-f2_hyp.trn.dtl
1,their,dollar,b-rea1-f2_hyp.trn.dtl
1,they'd,they,b-rea1-f2_hyp.trn.dtl
1,wear,are,b-rea1-f2_hyp.trn.dtl
1,when,in,b-rea1-f2_hyp.trn.dtl
1,would,will,b-rea1-f2_hyp.trn.dtl
2,cinders,sanders,b-rea1-f3_hyp.trn.dtl
1,a,the,b-rea1-f3_hyp.trn.dtl
1,and,lillian,b-rea1-f3_hyp.trn.dtl
1,and,rose,b-rea1-f3_hyp.trn.dtl
1,arrived,around,b-rea1-f3_hyp.trn.dtl
1,came,camp,b-rea1-f3_hyp.trn.dtl
1,cinders,percenters,b-rea1-f3_hyp.trn.dtl
1,cinders,standard,b-rea1-f3_hyp.trn.dtl
1,find,found,b-rea1-f3_hyp.trn.dtl
1,girl,guard,b-rea1-f3_hyp.trn.dtl
1,gowns,grounds,b-rea1-f3_hyp.trn.dtl
1,gowns,kinds,b-rea1-f3_hyp.trn.dtl
1,hairbrushes,and,b-rea1-f3_hyp.trn.dtl
1,hairpins,her,b-rea1-f3_hyp.trn.dtl
1,hairpins,pins,b-rea1-f3_hyp.trn.dtl
1,hairspray,spray,b-rea1-f3_hyp.trn.dtl
1,howled,told,b-rea1-f3_hyp.trn.dtl
1,lily,lillian,b-rea1-f3_hyp.trn.dtl
1,lived,live,b-rea1-f3_hyp.trn.dtl
1,rosa,up,b-rea1-f3_hyp.trn.dtl
1,shouting,trading,b-rea1-f3_hyp.trn.dtl
1,stepsisters,sisters,b-rea1-f3_hyp.trn.dtl
1,they'd,they,b-rea1-f3_hyp.trn.dtl
1,wear,work,b-rea1-f3_hyp.trn.dtl
1,would,will,b-rea1-f3_hyp.trn.dtl
2,gowns,guns,b-rea1-f4_hyp.trn.dtl
1,a,of,b-rea1-f4_hyp.trn.dtl
1,and,lillian,b-rea1-f4_hyp.trn.dtl
1,announce,nights,b-rea1-f4_hyp.trn.dtl
1,at,a,b-rea1-f4_hyp.trn.dtl
1,ball,all,b-rea1-f4_hyp.trn.dtl
1,cinders,centres,b-rea1-f4_hyp.trn.dtl
1,cinders,percenters,b-rea1-f4_hyp.trn.dtl
1,cinders,sender's,b-rea1-f4_hyp.trn.dtl
1,had,how,b-rea1-f4_hyp.trn.dtl
1,hairbrushes,her,b-rea1-f4_hyp.trn.dtl
1,hairpins,pins,b-rea1-f4_hyp.trn.dtl
1,hairspray,spray,b-rea1-f4_hyp.trn.dtl
1,her,the,b-rea1-f4_hyp.trn.dtl
1,howled,hold,b-rea1-f4_hyp.trn.dtl
1,lily,kelly,b-rea1-f4_hyp.trn.dtl
1,shouting,in,b-rea1-f4_hyp.trn.dtl
1,stepsisters,sisters,b-rea1-f4_hyp.trn.dtl
1,they'd,they,b-rea1-f4_hyp.trn.dtl
1,to,two,b-rea1-f4_hyp.trn.dtl
1,wear,are,b-rea1-f4_hyp.trn.dtl
2,and,lillian,b-rea1-f5_hyp.trn.dtl
1,a,ten,b-rea1-f5_hyp.trn.dtl
1,a,the,b-rea1-f5_hyp.trn.dtl
1,and,rose,b-rea1-f5_hyp.trn.dtl
1,arrived,of,b-rea1-f5_hyp.trn.dtl
1,at,its,b-rea1-f5_hyp.trn.dtl
1,buy,pay,b-rea1-f5_hyp.trn.dtl
1,called,the,b-rea1-f5_hyp.trn.dtl
1,cinders,lenders,b-rea1-f5_hyp.trn.dtl
1,cinders,percentage,b-rea1-f5_hyp.trn.dtl
1,cinders,sanders,b-rea1-f5_hyp.trn.dtl
