Count,Deleted_Word,Filename
1,,
1,thick,arabic10_hyp.trn.dtl
3,her,arabic11_hyp.trn.dtl
2,a,arabic11_hyp.trn.dtl
2,of,arabic11_hyp.trn.dtl
2,these,arabic11_hyp.trn.dtl
2,things,arabic11_hyp.trn.dtl
2,we,arabic11_hyp.trn.dtl
1,3,arabic11_hyp.trn.dtl
1,5,arabic11_hyp.trn.dtl
1,6,arabic11_hyp.trn.dtl
1,also,arabic11_hyp.trn.dtl
1,ask,arabic11_hyp.trn.dtl
1,at,arabic11_hyp.trn.dtl
1,big,arabic11_hyp.trn.dtl
1,blue,arabic11_hyp.trn.dtl
1,bob,arabic11_hyp.trn.dtl
1,bring,arabic11_hyp.trn.dtl
1,can,arabic11_hyp.trn.dtl
1,cheese,arabic11_hyp.trn.dtl
1,for,arabic11_hyp.trn.dtl
1,fresh,arabic11_hyp.trn.dtl
1,frog,arabic11_hyp.trn.dtl
1,go,arabic11_hyp.trn.dtl
1,into,arabic11_hyp.trn.dtl
1,kids,arabic11_hyp.trn.dtl
1,meet,arabic11_hyp.trn.dtl
1,need,arabic11_hyp.trn.dtl
1,peas,arabic11_hyp.trn.dtl
1,please,arabic11_hyp.trn.dtl
1,scoop,arabic11_hyp.trn.dtl
1,she,arabic11_hyp.trn.dtl
1,slabs,arabic11_hyp.trn.dtl
1,snow,arabic11_hyp.trn.dtl
1,spoons,arabic11_hyp.trn.dtl
1,the,arabic11_hyp.trn.dtl
1,thick,arabic11_hyp.trn.dtl
1,to,arabic11_hyp.trn.dtl
1,toy,arabic11_hyp.trn.dtl
1,train,arabic11_hyp.trn.dtl
1,wednesday,arabic11_hyp.trn.dtl
1,will,arabic11_hyp.trn.dtl
1,with,arabic11_hyp.trn.dtl
2,a,arabic12_hyp.trn.dtl
2,and,arabic12_hyp.trn.dtl
2,her,arabic12_hyp.trn.dtl
2,of,arabic12_hyp.trn.dtl
2,these,arabic12_hyp.trn.dtl
2,things,arabic12_hyp.trn.dtl
2,we,arabic12_hyp.trn.dtl
1,3,arabic12_hyp.trn.dtl
1,5,arabic12_hyp.trn.dtl
1,6,arabic12_hyp.trn.dtl
1,also,arabic12_hyp.trn.dtl
1,ask,arabic12_hyp.trn.dtl
1,at,arabic12_hyp.trn.dtl
1,bags,arabic12_hyp.trn.dtl
1,blue,arabic12_hyp.trn.dtl
1,bob,arabic12_hyp.trn.dtl
1,bring,arabic12_hyp.trn.dtl
1,brother,arabic12_hyp.trn.dtl
1,call,arabic12_hyp.trn.dtl
1,can,arabic12_hyp.trn.dtl
1,for,arabic12_hyp.trn.dtl
1,fresh,arabic12_hyp.trn.dtl
1,go,arabic12_hyp.trn.dtl
1,into,arabic12_hyp.trn.dtl
1,need,arabic12_hyp.trn.dtl
1,peas,arabic12_hyp.trn.dtl
1,plastic,arabic12_hyp.trn.dtl
1,please,arabic12_hyp.trn.dtl
1,red,arabic12_hyp.trn.dtl
1,scoop,arabic12_hyp.trn.dtl
1,slabs,arabic12_hyp.trn.dtl
1,small,arabic12_hyp.trn.dtl
1,snack,arabic12_hyp.trn.dtl
1,snake,arabic12_hyp.trn.dtl
1,snow,arabic12_hyp.trn.dtl
1,spoons,arabic12_hyp.trn.dtl
1,stella,arabic12_hyp.trn.dtl
1,store,arabic12_hyp.trn.dtl
1,the,arabic12_hyp.trn.dtl
1,thick,arabic12_hyp.trn.dtl
1,to,arabic12_hyp.trn.dtl
1,will,arabic12_hyp.trn.dtl
1,with,arabic12_hyp.trn.dtl
3,a,arabic13_hyp.trn.dtl
1,3,arabic13_hyp.trn.dtl
1,5,arabic13_hyp.trn.dtl
1,big,arabic13_hyp.trn.dtl
1,toy,arabic13_hyp.trn.dtl
1,5,arabic14_hyp.trn.dtl
1,fresh,arabic14_hyp.trn.dtl
1,her,arabic14_hyp.trn.dtl
1,peas,arabic14_hyp.trn.dtl
1,plastic,arabic14_hyp.trn.dtl
1,the,arabic14_hyp.trn.dtl
1,thick,arabic14_hyp.trn.dtl
2,a,arabic15_hyp.trn.dtl
1,at,arabic15_hyp.trn.dtl
1,big,arabic15_hyp.trn.dtl
1,fresh,arabic15_hyp.trn.dtl
1,peas,arabic15_hyp.trn.dtl
1,snow,arabic15_hyp.trn.dtl
1,station,arabic15_hyp.trn.dtl
1,the,arabic15_hyp.trn.dtl
1,train,arabic15_hyp.trn.dtl
2,we,arabic16_hyp.trn.dtl
1,3,arabic16_hyp.trn.dtl
1,5,arabic16_hyp.trn.dtl
1,6,arabic16_hyp.trn.dtl
1,a,arabic16_hyp.trn.dtl
1,also,arabic16_hyp.trn.dtl
1,and,arabic16_hyp.trn.dtl
1,bags,arabic16_hyp.trn.dtl
1,blue,arabic16_hyp.trn.dtl
1,bob,arabic16_hyp.trn.dtl
1,can,arabic16_hyp.trn.dtl
1,fresh,arabic16_hyp.trn.dtl
1,frog,arabic16_hyp.trn.dtl
1,kids,arabic16_hyp.trn.dtl
1,need,arabic16_hyp.trn.dtl
1,of,arabic16_hyp.trn.dtl
1,peas,arabic16_hyp.trn.dtl
1,red,arabic16_hyp.trn.dtl
1,she,arabic16_hyp.trn.dtl
1,small,arabic16_hyp.trn.dtl
1,snow,arabic16_hyp.trn.dtl
1,spoons,arabic16_hyp.trn.dtl
1,these,arabic16_hyp.trn.dtl
1,will,arabic16_hyp.trn.dtl
2,her,arabic17_hyp.trn.dtl
1,3,arabic17_hyp.trn.dtl
1,5,arabic17_hyp.trn.dtl
1,6,arabic17_hyp.trn.dtl
1,a,arabic17_hyp.trn.dtl
1,also,arabic17_hyp.trn.dtl
1,ask,arabic17_hyp.trn.dtl
1,bob,arabic17_hyp.trn.dtl
1,bring,arabic17_hyp.trn.dtl
1,brother,arabic17_hyp.trn.dtl
1,call,arabic17_hyp.trn.dtl
1,for,arabic17_hyp.trn.dtl
1,fresh,arabic17_hyp.trn.dtl
1,need,arabic17_hyp.trn.dtl
1,of,arabic17_hyp.trn.dtl
1,peas,arabic17_hyp.trn.dtl
1,small,arabic17_hyp.trn.dtl
1,snow,arabic17_hyp.trn.dtl
1,spoons,arabic17_hyp.trn.dtl
1,stella,arabic17_hyp.trn.dtl
1,to,arabic17_hyp.trn.dtl
1,we,arabic17_hyp.trn.dtl
1,5,arabic18_hyp.trn.dtl
1,6,arabic18_hyp.trn.dtl
1,a,arabic18_hyp.trn.dtl
1,and,arabic18_hyp.trn.dtl
1,big,arabic18_hyp.trn.dtl
1,fresh,arabic18_hyp.trn.dtl
1,into,arabic18_hyp.trn.dtl
1,of,arabic18_hyp.trn.dtl
1,peas,arabic18_hyp.trn.dtl
1,she,arabic18_hyp.trn.dtl
1,snake,arabic18_hyp.trn.dtl
1,snow,arabic18_hyp.trn.dtl
1,spoons,arabic18_hyp.trn.dtl
1,store,arabic18_hyp.trn.dtl
1,toy,arabic18_hyp.trn.dtl
2,these,arabic19_hyp.trn.dtl
1,6,arabic19_hyp.trn.dtl
1,thick,arabic19_hyp.trn.dtl
1,things,arabic19_hyp.trn.dtl
1,5,arabic1_hyp.trn.dtl
1,frog,arabic1_hyp.trn.dtl
1,her,arabic1_hyp.trn.dtl
1,peas,arabic1_hyp.trn.dtl
4,her,arabic20_hyp.trn.dtl
3,the,arabic20_hyp.trn.dtl
2,a,arabic20_hyp.trn.dtl
2,and,arabic20_hyp.trn.dtl
2,for,arabic20_hyp.trn.dtl
2,of,arabic20_hyp.trn.dtl
2,these,arabic20_hyp.trn.dtl
2,things,arabic20_hyp.trn.dtl
2,we,arabic20_hyp.trn.dtl
1,5,arabic20_hyp.trn.dtl
1,6,arabic20_hyp.trn.dtl
1,also,arabic20_hyp.trn.dtl
1,ask,arabic20_hyp.trn.dtl
1,at,arabic20_hyp.trn.dtl
1,big,arabic20_hyp.trn.dtl
1,blue,arabic20_hyp.trn.dtl
1,bob,arabic20_hyp.trn.dtl
1,bring,arabic20_hyp.trn.dtl
1,brother,arabic20_hyp.trn.dtl
1,can,arabic20_hyp.trn.dtl
1,fresh,arabic20_hyp.trn.dtl
