Count,Inserted_Word,Filename
1,,
1,a,arabic10_hyp.trn.dtl
1,for,arabic10_hyp.trn.dtl
1,snake,arabic10_hyp.trn.dtl
1,snack,arabic11_hyp.trn.dtl
1,a,arabic12_hyp.trn.dtl
1,i,arabic12_hyp.trn.dtl
1,in,arabic12_hyp.trn.dtl
1,off,arabic12_hyp.trn.dtl
1,here,arabic14_hyp.trn.dtl
1,the,arabic14_hyp.trn.dtl
2,from,arabic15_hyp.trn.dtl
2,the,arabic15_hyp.trn.dtl
2,to,arabic15_hyp.trn.dtl
1,in,arabic15_hyp.trn.dtl
1,on,arabic15_hyp.trn.dtl
1,snack,arabic15_hyp.trn.dtl
1,stop,arabic15_hyp.trn.dtl
1,store,arabic15_hyp.trn.dtl
1,three,arabic15_hyp.trn.dtl
1,once,arabic17_hyp.trn.dtl
1,has,arabic19_hyp.trn.dtl
1,in,arabic19_hyp.trn.dtl
1,off,arabic19_hyp.trn.dtl
1,here,arabic1_hyp.trn.dtl
1,one,arabic1_hyp.trn.dtl
1,his,arabic23_hyp.trn.dtl
1,when,arabic23_hyp.trn.dtl
1,a,arabic24_hyp.trn.dtl
1,biggs,arabic24_hyp.trn.dtl
1,for,arabic24_hyp.trn.dtl
1,it's,arabic24_hyp.trn.dtl
1,meet,arabic24_hyp.trn.dtl
1,snake,arabic24_hyp.trn.dtl
1,thing,arabic24_hyp.trn.dtl
1,thiss,arabic24_hyp.trn.dtl
1,once,arabic25_hyp.trn.dtl
1,will,arabic25_hyp.trn.dtl
1,for,arabic26_hyp.trn.dtl
1,her,arabic26_hyp.trn.dtl
1,once,arabic26_hyp.trn.dtl
1,the,arabic26_hyp.trn.dtl
1,toe,arabic26_hyp.trn.dtl
1,a,arabic29_hyp.trn.dtl
1,and,arabic29_hyp.trn.dtl
1,by,arabic29_hyp.trn.dtl
1,piece,arabic29_hyp.trn.dtl
1,snow's,arabic29_hyp.trn.dtl
1,twenty-three,arabic29_hyp.trn.dtl
1,the,arabic2_hyp.trn.dtl
1,fresh,arabic30_hyp.trn.dtl
1,of,arabic30_hyp.trn.dtl
1,schools,arabic30_hyp.trn.dtl
1,snack,arabic30_hyp.trn.dtl
2,a,arabic31_hyp.trn.dtl
2,the,arabic31_hyp.trn.dtl
1,ah,arabic31_hyp.trn.dtl
1,as,arabic31_hyp.trn.dtl
1,for,arabic31_hyp.trn.dtl
1,her,arabic31_hyp.trn.dtl
1,in,arabic31_hyp.trn.dtl
1,on,arabic31_hyp.trn.dtl
1,rain,arabic31_hyp.trn.dtl
1,steaks,arabic31_hyp.trn.dtl
1,stick,arabic31_hyp.trn.dtl
1,us,arabic31_hyp.trn.dtl
1,with,arabic31_hyp.trn.dtl
1,snack,arabic32_hyp.trn.dtl
1,toe,arabic32_hyp.trn.dtl
1,and,arabic33_hyp.trn.dtl
1,ever,arabic33_hyp.trn.dtl
1,go,arabic33_hyp.trn.dtl
1,into,arabic33_hyp.trn.dtl
1,kid's,arabic33_hyp.trn.dtl
1,points,arabic33_hyp.trn.dtl
1,she,arabic33_hyp.trn.dtl
1,will,arabic33_hyp.trn.dtl
1,you,arabic33_hyp.trn.dtl
1,for,arabic35_hyp.trn.dtl
