Count,Inserted_Word,Filename
1,,
1,a,arabic10_hyp.trn.dtl
1,for,arabic10_hyp.trn.dtl
1,snake,arabic10_hyp.trn.dtl
1,win,arabic14_hyp.trn.dtl
2,to,arabic15_hyp.trn.dtl
1,3,arabic15_hyp.trn.dtl
1,from,arabic15_hyp.trn.dtl
1,in,arabic15_hyp.trn.dtl
1,stop,arabic15_hyp.trn.dtl
1,store,arabic15_hyp.trn.dtl
1,the,arabic15_hyp.trn.dtl
1,or,arabic19_hyp.trn.dtl
1,the,arabic19_hyp.trn.dtl
1,as,arabic24_hyp.trn.dtl
1,boy,arabic24_hyp.trn.dtl
1,for,arabic24_hyp.trn.dtl
1,snake,arabic24_hyp.trn.dtl
1,will,arabic25_hyp.trn.dtl
1,france,arabic26_hyp.trn.dtl
1,the,arabic26_hyp.trn.dtl
1,the,arabic2_hyp.trn.dtl
1,school,arabic31_hyp.trn.dtl
1,her,arabic36_hyp.trn.dtl
1,meet,arabic36_hyp.trn.dtl
1,get,arabic39_hyp.trn.dtl
1,off,arabic39_hyp.trn.dtl
1,for,arabic3_hyp.trn.dtl
1,fought,arabic3_hyp.trn.dtl
1,still,arabic3_hyp.trn.dtl
1,that,arabic3_hyp.trn.dtl
1,and,arabic41_hyp.trn.dtl
1,to,arabic41_hyp.trn.dtl
1,and,arabic45_hyp.trn.dtl
1,ask,arabic46_hyp.trn.dtl
1,bring,arabic46_hyp.trn.dtl
1,her,arabic46_hyp.trn.dtl
1,those,arabic46_hyp.trn.dtl
1,to,arabic46_hyp.trn.dtl
1,for,arabic49_hyp.trn.dtl
1,the,arabic53_hyp.trn.dtl
1,the,arabic55_hyp.trn.dtl
1,5,arabic62_hyp.trn.dtl
1,and,arabic62_hyp.trn.dtl
1,feet,arabic62_hyp.trn.dtl
1,one,arabic62_hyp.trn.dtl
1,trying,arabic62_hyp.trn.dtl
1,brothers,arabic65_hyp.trn.dtl
1,a,arabic67_hyp.trn.dtl
1,brother,arabic67_hyp.trn.dtl
1,the,arabic67_hyp.trn.dtl
1,brother,arabic68_hyp.trn.dtl
1,cope,arabic7_hyp.trn.dtl
1,from,arabic7_hyp.trn.dtl
1,her,arabic7_hyp.trn.dtl
1,me,arabic7_hyp.trn.dtl
1,wednesday,arabic7_hyp.trn.dtl
2,and,english12_hyp.trn.dtl
1,go,english12_hyp.trn.dtl
1,to,english12_hyp.trn.dtl
1,we,english12_hyp.trn.dtl
1,on,english13_hyp.trn.dtl
1,front,english141_hyp.trn.dtl
1,the,english145_hyp.trn.dtl
1,to,english14_hyp.trn.dtl
1,and,english164_hyp.trn.dtl
1,for,english164_hyp.trn.dtl
1,that,english164_hyp.trn.dtl
1,the,english164_hyp.trn.dtl
1,to,english188_hyp.trn.dtl
1,in,english215_hyp.trn.dtl
1,for,english227_hyp.trn.dtl
1,much,english227_hyp.trn.dtl
1,thank,english227_hyp.trn.dtl
1,very,english227_hyp.trn.dtl
1,you,english227_hyp.trn.dtl
1,much,english228_hyp.trn.dtl
1,thank,english228_hyp.trn.dtl
1,very,english228_hyp.trn.dtl
1,you,english228_hyp.trn.dtl
1,front,english267_hyp.trn.dtl
1,in,english308_hyp.trn.dtl
