Count,correct,ASR,Filename
1,,,
1,a,not,b-rea1-f1_hyp.trn.dtl
1,and,her,b-rea1-f1_hyp.trn.dtl
1,cinders,eastenders,b-rea1-f1_hyp.trn.dtl
1,cinders,linda's,b-rea1-f1_hyp.trn.dtl
1,gowns,gangs,b-rea1-f1_hyp.trn.dtl
1,gowns,ground,b-rea1-f1_hyp.trn.dtl
1,had,they'd,b-rea1-f1_hyp.trn.dtl
1,hairbrushes,friends,b-rea1-f1_hyp.trn.dtl
1,hairpins,in,b-rea1-f1_hyp.trn.dtl
1,hairspray,spring,b-rea1-f1_hyp.trn.dtl
1,hat,eastenders,b-rea1-f1_hyp.trn.dtl
1,honour,bowl,b-rea1-f1_hyp.trn.dtl
1,howled,tell,b-rea1-f1_hyp.trn.dtl
1,in,ninety,b-rea1-f1_hyp.trn.dtl
1,in,would,b-rea1-f1_hyp.trn.dtl
1,lived,live,b-rea1-f1_hyp.trn.dtl
1,rosa,rosie,b-rea1-f1_hyp.trn.dtl
1,rosa,they,b-rea1-f1_hyp.trn.dtl
1,rosa,was,b-rea1-f1_hyp.trn.dtl
1,sisters,just,b-rea1-f1_hyp.trn.dtl
1,their,the,b-rea1-f1_hyp.trn.dtl
1,they'd,they,b-rea1-f1_hyp.trn.dtl
1,this,darkest,b-rea1-f1_hyp.trn.dtl
1,thought,the,b-rea1-f1_hyp.trn.dtl
1,a,monday,b-rea1-f2_hyp.trn.dtl
1,a,ninety,b-rea1-f2_hyp.trn.dtl
1,and,her,b-rea1-f2_hyp.trn.dtl
1,and,liliana,b-rea1-f2_hyp.trn.dtl
1,buying,by,b-rea1-f2_hyp.trn.dtl
1,cinders,percentages,b-rea1-f2_hyp.trn.dtl
1,dreamed,dream,b-rea1-f2_hyp.trn.dtl
1,find,gleighteen,b-rea1-f2_hyp.trn.dtl
1,going,in,b-rea1-f2_hyp.trn.dtl
1,gowns,coins,b-rea1-f2_hyp.trn.dtl
1,gowns,guns,b-rea1-f2_hyp.trn.dtl
1,hairbrushes,happens,b-rea1-f2_hyp.trn.dtl
1,hairpins,in,b-rea1-f2_hyp.trn.dtl
1,hairspray,spray,b-rea1-f2_hyp.trn.dtl
1,help,santa's,b-rea1-f2_hyp.trn.dtl
1,her,helper,b-rea1-f2_hyp.trn.dtl
1,honour,anna,b-rea1-f2_hyp.trn.dtl
1,in,and,b-rea1-f2_hyp.trn.dtl
1,lily,call,b-rea1-f2_hyp.trn.dtl
1,lived,left,b-rea1-f2_hyp.trn.dtl
1,me,hackney,b-rea1-f2_hyp.trn.dtl
1,of,day,b-rea1-f2_hyp.trn.dtl
1,one,modules,b-rea1-f2_hyp.trn.dtl
1,rosa,liliana,b-rea1-f2_hyp.trn.dtl
1,their,the,b-rea1-f2_hyp.trn.dtl
1,they,a,b-rea1-f2_hyp.trn.dtl
1,they'd,did,b-rea1-f2_hyp.trn.dtl
1,to,the,b-rea1-f2_hyp.trn.dtl
1,to,two,b-rea1-f2_hyp.trn.dtl
1,wear,are,b-rea1-f2_hyp.trn.dtl
1,were,groza,b-rea1-f2_hyp.trn.dtl
1,were,never,b-rea1-f2_hyp.trn.dtl
1,were,there,b-rea1-f2_hyp.trn.dtl
1,would,will,b-rea1-f2_hyp.trn.dtl
1,a,in,b-rea1-f3_hyp.trn.dtl
1,a,it,b-rea1-f3_hyp.trn.dtl
1,and,williams,b-rea1-f3_hyp.trn.dtl
1,announce,champion,b-rea1-f3_hyp.trn.dtl
1,ball,football,b-rea1-f3_hyp.trn.dtl
1,cinders,ended,b-rea1-f3_hyp.trn.dtl
1,cinders,just,b-rea1-f3_hyp.trn.dtl
1,cinders,wedding,b-rea1-f3_hyp.trn.dtl
1,day,use,b-rea1-f3_hyp.trn.dtl
1,had,belle's,b-rea1-f3_hyp.trn.dtl
1,hairbrushes,and,b-rea1-f3_hyp.trn.dtl
1,hairpins,friend,b-rea1-f3_hyp.trn.dtl
1,hairpins,her,b-rea1-f3_hyp.trn.dtl
1,hairspray,spray,b-rea1-f3_hyp.trn.dtl
1,he,i,b-rea1-f3_hyp.trn.dtl
1,help,brushes,b-rea1-f3_hyp.trn.dtl
1,lily,rosie,b-rea1-f3_hyp.trn.dtl
1,lived,up,b-rea1-f3_hyp.trn.dtl
1,one,will,b-rea1-f3_hyp.trn.dtl
1,rosa,that,b-rea1-f3_hyp.trn.dtl
1,royal,on,b-rea1-f3_hyp.trn.dtl
1,stepsisters,is,b-rea1-f3_hyp.trn.dtl
1,to,hair,b-rea1-f3_hyp.trn.dtl
1,wanted,friends,b-rea1-f3_hyp.trn.dtl
1,was,is,b-rea1-f3_hyp.trn.dtl
1,would,will,b-rea1-f3_hyp.trn.dtl
2,their,the,b-rea1-f4_hyp.trn.dtl
1,a,of,b-rea1-f4_hyp.trn.dtl
1,announce,knights,b-rea1-f4_hyp.trn.dtl
1,ball,all,b-rea1-f4_hyp.trn.dtl
1,bells,veils,b-rea1-f4_hyp.trn.dtl
1,buying,by,b-rea1-f4_hyp.trn.dtl
1,cinders,centres,b-rea1-f4_hyp.trn.dtl
1,cinders,is,b-rea1-f4_hyp.trn.dtl
1,cinders,sender,b-rea1-f4_hyp.trn.dtl
1,downs,times,b-rea1-f4_hyp.trn.dtl
1,girls,lazygirls,b-rea1-f4_hyp.trn.dtl
1,gowns,friends,b-rea1-f4_hyp.trn.dtl
1,had,able,b-rea1-f4_hyp.trn.dtl
1,hairbrushes,her,b-rea1-f4_hyp.trn.dtl
1,hairpins,pens,b-rea1-f4_hyp.trn.dtl
1,hand,how,b-rea1-f4_hyp.trn.dtl
1,her,just,b-rea1-f4_hyp.trn.dtl
1,in,and,b-rea1-f4_hyp.trn.dtl
1,lived,live,b-rea1-f4_hyp.trn.dtl
1,me,many,b-rea1-f4_hyp.trn.dtl
1,of,hydrangea,b-rea1-f4_hyp.trn.dtl
1,one,ascenders,b-rea1-f4_hyp.trn.dtl
1,poor,first,b-rea1-f4_hyp.trn.dtl
1,sisters,to,b-rea1-f4_hyp.trn.dtl
1,they'd,they,b-rea1-f4_hyp.trn.dtl
1,time,contain,b-rea1-f4_hyp.trn.dtl
1,to,two,b-rea1-f4_hyp.trn.dtl
1,wanted,jules,b-rea1-f4_hyp.trn.dtl
1,wear,are,b-rea1-f4_hyp.trn.dtl
1,would,will,b-rea1-f4_hyp.trn.dtl
1,yelled,chatting,b-rea1-f4_hyp.trn.dtl
1,a,again,b-rea1-f5_hyp.trn.dtl
1,a,the,b-rea1-f5_hyp.trn.dtl
1,and,elaine,b-rea1-f5_hyp.trn.dtl
1,and,i'm,b-rea1-f5_hyp.trn.dtl
1,and,in,b-rea1-f5_hyp.trn.dtl
1,announce,message,b-rea1-f5_hyp.trn.dtl
1,ball,paul,b-rea1-f5_hyp.trn.dtl
1,ball,tonight,b-rea1-f5_hyp.trn.dtl
1,buy,pay,b-rea1-f5_hyp.trn.dtl
1,buying,by,b-rea1-f5_hyp.trn.dtl
1,cinders,calls,b-rea1-f5_hyp.trn.dtl
1,cinders,percentage,b-rea1-f5_hyp.trn.dtl
1,cinders,the,b-rea1-f5_hyp.trn.dtl
1,downs,hand-me-downs,b-rea1-f5_hyp.trn.dtl
1,find,one-zero,b-rea1-f5_hyp.trn.dtl
1,girl,car,b-rea1-f5_hyp.trn.dtl
1,girls,lasik-eyes,b-rea1-f5_hyp.trn.dtl
1,hairbrushes,her,b-rea1-f5_hyp.trn.dtl
1,hairpins,friends,b-rea1-f5_hyp.trn.dtl
1,hat,heart,b-rea1-f5_hyp.trn.dtl
1,honour,and,b-rea1-f5_hyp.trn.dtl
1,howled,and,b-rea1-f5_hyp.trn.dtl
1,jewels,chatting,b-rea1-f5_hyp.trn.dtl
1,lily,call,b-rea1-f5_hyp.trn.dtl
1,lived,chances,b-rea1-f5_hyp.trn.dtl
1,mood,and,b-rea1-f5_hyp.trn.dtl
1,of,anna,b-rea1-f5_hyp.trn.dtl
1,one,nigerians,b-rea1-f5_hyp.trn.dtl
1,so,then,b-rea1-f5_hyp.trn.dtl
1,the,so,b-rea1-f5_hyp.trn.dtl
1,there,tenner,b-rea1-f5_hyp.trn.dtl
1,to,i'll,b-rea1-f5_hyp.trn.dtl
1,unfriendly,ramsay,b-rea1-f5_hyp.trn.dtl
1,was,of,b-rea1-f5_hyp.trn.dtl
1,were,restaurant,b-rea1-f5_hyp.trn.dtl
1,would,barber,b-rea1-f5_hyp.trn.dtl
1,yelled,attended,b-rea1-f5_hyp.trn.dtl
1,a,sarah,b-rea1-f6_hyp.trn.dtl
1,and,it's,b-rea1-f6_hyp.trn.dtl
1,cinders,polarized,b-rea1-f6_hyp.trn.dtl
1,cinders,sanders,b-rea1-f6_hyp.trn.dtl
1,cinders,windows,b-rea1-f6_hyp.trn.dtl
1,clothes,girl,b-rea1-f6_hyp.trn.dtl
1,gowns,account,b-rea1-f6_hyp.trn.dtl
1,had,they,b-rea1-f6_hyp.trn.dtl
1,hairbrushes,her,b-rea1-f6_hyp.trn.dtl
1,hairpins,pants,b-rea1-f6_hyp.trn.dtl
1,he,she,b-rea1-f6_hyp.trn.dtl
1,help,have,b-rea1-f6_hyp.trn.dtl
1,jewels,she,b-rea1-f6_hyp.trn.dtl
1,lived,live,b-rea1-f6_hyp.trn.dtl
1,me,hackney,b-rea1-f6_hyp.trn.dtl
1,new,my,b-rea1-f6_hyp.trn.dtl
1,rosa,rosie,b-rea1-f6_hyp.trn.dtl
1,their,the,b-rea1-f6_hyp.trn.dtl
1,they,it,b-rea1-f6_hyp.trn.dtl
1,they,karate,b-rea1-f6_hyp.trn.dtl
1,they'd,that,b-rea1-f6_hyp.trn.dtl
1,was,is,b-rea1-f6_hyp.trn.dtl
